,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
391,ac7a92560a9e99f0a0ab4988102f491b,6abf781c5304890987047e9aa239caa8,delivered,2018-03-04 15:58:09,2018-03-04 16:10:35,2018-03-06 17:14:59,2018-03-22 23:44:33,2018-03-23 00:00:00,1ce9388b1a3ad76f5f1a64f208a90fce,1.0,,O prazo era até dia 23/03 e até o momento não recebi. Quero saber o que está acontecendo.,2018-03-25 00:00:00,2018-03-25 21:40:11
392,ac7a92560a9e99f0a0ab4988102f491b,6abf781c5304890987047e9aa239caa8,delivered,2018-03-04 15:58:09,2018-03-04 16:10:35,2018-03-06 17:14:59,2018-03-22 23:44:33,2018-03-23 00:00:00,5ac791169055b4994a395a442e3956f6,1.0,,"Comprei pensando que ia vir conforme a foto, vel branco e a parte baixo bege, porém veio tudo bege.",2018-03-23 00:00:00,2018-03-24 12:57:14
538,7845a2492ab1b4f2cf3d56c7b8da1446,386e96046ce0e77e5c9a9a4e818da93c,delivered,2018-01-18 12:35:45,2018-01-18 12:56:40,2018-01-18 23:42:44,2018-01-23 21:51:48,2018-02-09 00:00:00,ae501aff8d8cc761c92008e6afd9dcaa,5.0,,chegou antesdo programado,2018-01-24 00:00:00,2018-01-30 19:19:56
539,7845a2492ab1b4f2cf3d56c7b8da1446,386e96046ce0e77e5c9a9a4e818da93c,delivered,2018-01-18 12:35:45,2018-01-18 12:56:40,2018-01-18 23:42:44,2018-01-23 21:51:48,2018-02-09 00:00:00,8566d94f7bf3bedbb4ca6a29725fc382,5.0,,chegou antes do prometido,2018-01-27 00:00:00,2018-01-30 19:18:27
649,acbe07f22f29ad7e5a78f30008cc6ec7,b4afeb58ac51bc903c5362286c6a5cfe,delivered,2017-11-18 14:33:04,2017-11-18 19:06:16,2017-11-27 18:34:31,2017-11-29 17:58:43,2017-12-05 00:00:00,ea1fbd19c48a016b08c92aa1daf658de,5.0,,,2017-11-30 00:00:00,2017-12-01 10:27:29
650,acbe07f22f29ad7e5a78f30008cc6ec7,b4afeb58ac51bc903c5362286c6a5cfe,delivered,2017-11-18 14:33:04,2017-11-18 19:06:16,2017-11-27 18:34:31,2017-11-29 17:58:43,2017-12-05 00:00:00,a3c3bd7b9583c15aa8b72bbb94e8744d,5.0,,,2017-11-25 00:00:00,2017-11-25 21:21:54
792,c761a8b74f1e876bc5efc4186f720e27,a8ed087e25b26fb64cbb99033eb243a7,delivered,2017-04-03 19:07:32,2017-04-03 19:22:45,2017-04-05 12:42:51,2017-04-11 14:25:21,2017-05-15 00:00:00,81a90f09c4325e02aedca314ec5cbf71,4.0,,,2017-04-09 00:00:00,2017-04-09 17:08:39
793,c761a8b74f1e876bc5efc4186f720e27,a8ed087e25b26fb64cbb99033eb243a7,delivered,2017-04-03 19:07:32,2017-04-03 19:22:45,2017-04-05 12:42:51,2017-04-11 14:25:21,2017-05-15 00:00:00,8edd42a7c561e11de943594bfae347e5,1.0,,"Realizei a compra de 2 colchas de solteiro e só recebi 1 produto.
E até agora não recebi a outra colcha.",2017-04-12 00:00:00,2017-04-13 01:14:56
1066,5e4c365dd3cf7769a88981f408d069d3,15f7712bb12fe27068e5353d14503653,delivered,2017-11-21 21:31:09,2017-11-23 02:47:29,2017-11-28 23:33:04,2017-12-23 16:13:34,2017-12-12 00:00:00,4a812193dda460d6ca601031b16aeafa,1.0,,"Acho um absurdo comprar um produto que diz estar disponível e não recebê-lo !!! Verifiquem por favor, pois não é a primeira vez que acontece. Exijo uma resposta convincente!!! Aguardo contato urgente!",2017-12-16 00:00:00,2017-12-16 04:00:34
1067,5e4c365dd3cf7769a88981f408d069d3,15f7712bb12fe27068e5353d14503653,delivered,2017-11-21 21:31:09,2017-11-23 02:47:29,2017-11-28 23:33:04,2017-12-23 16:13:34,2017-12-12 00:00:00,6b53b5ee362ec284dcaca9a653645b58,1.0,,Ja tive problema com uma maquina Nespresso que comprei e depois me disseram que o parceiro de vcs nao tinha. Agora com o conjunto de lencol no qual nao recebi. E ainda tem muitos produtos que comprei ,2017-12-14 00:00:00,2017-12-14 13:23:36
1122,3ff220e93d03aad9bb6767d90ac0e846,ba827769097443c480330d84fad09494,delivered,2018-01-14 22:48:28,2018-01-14 22:59:24,2018-01-15 16:03:34,2018-01-23 18:13:06,2018-02-07 00:00:00,f09eb55a7410e8624c0d538b856b9580,3.0,,,2018-01-31 00:00:00,2018-01-31 21:29:46
1123,3ff220e93d03aad9bb6767d90ac0e846,ba827769097443c480330d84fad09494,delivered,2018-01-14 22:48:28,2018-01-14 22:59:24,2018-01-15 16:03:34,2018-01-23 18:13:06,2018-02-07 00:00:00,54daab04440b00f318d2c9a0854aafc0,4.0,,,2018-01-24 00:00:00,2018-01-24 21:32:10
1503,bf9a3a8d9db6be5e4dfcfe2f071ef405,26fdb52d0382ebe750a8866b5bf9e5db,delivered,2017-12-02 08:50:34,2017-12-02 09:09:15,2017-12-04 21:52:19,2018-01-15 20:42:42,2018-01-02 00:00:00,304ac742868d90ac4b659eade3a9853d,5.0,,O produto foi entregue antes do prazo . Obrigada por acatar nosso apelo. Nota 10.,2017-12-16 00:00:00,2017-12-16 23:53:48
1504,bf9a3a8d9db6be5e4dfcfe2f071ef405,26fdb52d0382ebe750a8866b5bf9e5db,delivered,2017-12-02 08:50:34,2017-12-02 09:09:15,2017-12-04 21:52:19,2018-01-15 20:42:42,2018-01-02 00:00:00,15daa9db89623052d7b25d96ed14686d,3.0,,"Não credito todo o erro ao fornecedor.
A baratheon também tem responsabilidade. Comprei na baratheon. Obrigada.",2018-01-04 00:00:00,2018-01-04 15:09:50
1599,6596197a74edd396e3d34c53eff4ad6f,524d1030b6d659f0aa5e03f459a89b34,delivered,2018-02-07 20:18:57,2018-02-07 20:33:02,2018-02-09 16:44:31,2018-02-15 15:38:45,2018-03-05 00:00:00,f6e05a3f6dbc3bdb1ec3068725c67677,5.0,,,2018-02-16 00:00:00,2018-03-07 21:35:29
1600,6596197a74edd396e3d34c53eff4ad6f,524d1030b6d659f0aa5e03f459a89b34,delivered,2018-02-07 20:18:57,2018-02-07 20:33:02,2018-02-09 16:44:31,2018-02-15 15:38:45,2018-03-05 00:00:00,ab3ad419df33ed6e049800b7ccaa4b0d,5.0,,,2018-02-27 00:00:00,2018-03-02 00:14:40
1676,700bf35cd16de6e4d5d1e6e023b0221d,a03d07bf4aa2b1c94d11585aacbdaac2,delivered,2017-06-14 23:41:17,2017-06-17 03:49:57,2017-06-19 11:08:07,2017-06-27 14:32:10,2017-07-07 00:00:00,5f5bcd53c9a6da0a1ec42979a53f7359,3.0,,,2017-06-23 00:00:00,2017-06-23 23:39:34
1677,700bf35cd16de6e4d5d1e6e023b0221d,a03d07bf4aa2b1c94d11585aacbdaac2,delivered,2017-06-14 23:41:17,2017-06-17 03:49:57,2017-06-19 11:08:07,2017-06-27 14:32:10,2017-07-07 00:00:00,dce802e80645c005b51222c9948d9d89,5.0,,,2017-06-28 00:00:00,2017-06-29 02:57:20
2018,2ce757e7e2cf3442241e4646b3472dd0,1d90552931e70c9f5f72f05a9c210a56,delivered,2017-08-30 10:56:21,2017-08-30 11:10:13,2017-09-04 14:52:05,2017-09-12 21:24:54,2017-09-28 00:00:00,5f05184cbcf379ca2baee7dba663e3f5,4.0,,,2017-09-09 00:00:00,2017-09-11 11:22:50
2019,2ce757e7e2cf3442241e4646b3472dd0,1d90552931e70c9f5f72f05a9c210a56,delivered,2017-08-30 10:56:21,2017-08-30 11:10:13,2017-09-04 14:52:05,2017-09-12 21:24:54,2017-09-28 00:00:00,5f039d644f7e5a79ae71a421783f4514,5.0,,,2017-09-13 00:00:00,2017-09-14 08:23:06
2060,8f32ee82ea0fe678bd4aae681f1637cc,468c4f2750adc583cfca2f7223d7ebff,delivered,2017-06-25 16:16:00,2017-06-25 16:25:12,2017-06-26 14:43:27,2017-06-28 16:16:52,2017-07-07 00:00:00,6ad82d4d9d77c0fd2585930d8c2382e5,5.0,,,2017-07-20 00:00:00,2017-07-22 15:33:00
2061,8f32ee82ea0fe678bd4aae681f1637cc,468c4f2750adc583cfca2f7223d7ebff,delivered,2017-06-25 16:16:00,2017-06-25 16:25:12,2017-06-26 14:43:27,2017-06-28 16:16:52,2017-07-07 00:00:00,1c3b5eb128632a2a8f348e917b985f4a,5.0,,,2017-06-29 00:00:00,2017-07-02 03:01:58
